@relation 'testPoi-1.5-weka.filters.unsupervised.attribute.Remove-R1-4,8-9,12-13,15-16'

@attribute rfc numeric
@attribute lcom numeric
@attribute ca numeric
@attribute lcom3 numeric
@attribute loc numeric
@attribute mfa numeric
@attribute cbm numeric
@attribute amc numeric
@attribute max_cc numeric
@attribute avg_cc numeric
@attribute bug {N,Y}

@data
1,0,3,2,1,0,0,0,1,1,N
29,94,1,0.8125,240,0.44,6,12.823529,2,0.8824,Y
42,312,2,0.796296,434,0.305556,6,14.285714,7,1.8571,Y
33,40,1,0.830357,250,0.44,6,13.294118,2,0.8824,Y
21,43,2,0.85,117,0.578947,6,9.454545,2,1,Y
37,0,7,0.357143,278,0.823529,1,33.5,6,1.625,N
38,252,4,0.782609,366,0.34375,6,14.041667,7,1.7917,Y
13,28,2,1.142857,56,0.538462,2,5.75,1,0.75,Y
24,4,1,0.333333,146,0,0,35.25,3,1.25,N
21,49,2,0.975,108,0.578947,6,8.454545,2,0.8182,N
44,164,1,0.828704,412,0.333333,6,15.12,2,0.92,Y
87,349,3,0.888288,1625,0.23913,7,41.368421,13,2.3158,Y
187,1269,5,0.892573,2395,0,0,39.372881,10,1.4407,Y
14,9,5,0.5,48,0.848485,0,5.714286,1,0.7143,N
8,15,2,1.2,137,0,0,21.666667,4,2,Y
4,3,5,1.5,38,0.6,1,11.333333,2,1,N
18,54,4,0.924242,222,0.230769,2,17,5,1.3333,N
38,104,2,0.883929,293,0.44,6,15.823529,2,1.1765,Y
0,0,1,2,5,0,0,0,0,0,N
30,3,0,2,315,0,0,104,1,0.6667,Y
29,0,0,0.388889,629,0,1,24.04,9,2.6,N
8,1,0,2,28,0,0,13,1,0.5,Y
9,36,12,2,9,0,0,0,1,1,Y
21,49,2,0.85,106,0.578947,6,8.454545,2,0.8182,N
21,43,2,0.85,116,0.578947,6,9.363636,2,1,N
29,0,4,0.388889,629,0,1,24.04,9,2.6,N
17,78,2,0.533333,172,0,0,9.5,9,1.625,N
39,190,1,2,433,0,0,20.65,6,1.7,N
34,213,4,0.75,330,0.366667,6,13.818182,7,1.8636,Y
22,49,2,0.933333,106,0.578947,6,8.363636,2,0.8182,Y
38,122,1,0.94,334,0.37931,6,14.190476,2,0.9048,Y
33,119,0,0.901235,284,0.407407,6,13.473684,2,0.8947,Y
24,64,1,0.833333,144,0.52381,6,9.769231,1,0.7692,Y
21,9,2,0.25,92,0,0,7.181818,1,0.6364,N
0,0,0,2,4,0,0,0,0,0,N
4,6,3,2,4,0,0,0,1,1,N
13,28,3,1.142857,56,0.538462,2,5.75,1,0.75,Y
2,0,99,2,5,1,0,4,0,0,N
39,0,0,0.744318,387,0.354839,6,15.478261,2,0.913,Y
25,56,1,0.805556,158,0.52381,6,10.923077,2,0.8462,Y
10,3,6,2,27,0.971429,1,8,1,0.3333,N
12,10,1,2,32,0.555556,0,5.4,1,0.8,N
5,4,4,0.333333,46,0,0,10.25,2,1,N
35,93,1,0.796296,285,0.407407,6,13.684211,2,0.8947,Y
23,0,10,0.642857,271,0.45,2,19.307692,2,0.9231,N
78,65,4,0.75,984,0,0,36.076923,20,2.8846,Y
28,31,26,0.577778,414,0,0,39.9,2,1.2,Y
21,49,3,0.85,106,0.578947,6,8.454545,2,0.8182,N
24,77,2,0.876923,202,0.5,5,13.071429,2,1,Y
30,21,9,2,350,0,0,49,10,3.5714,Y
39,0,3,0.978947,140,0,0,5.25,1,0.95,Y
21,43,2,0.85,117,0.578947,6,9.454545,2,1,Y
17,36,1,1.125,72,0.647059,6,6.888889,2,0.7778,N
4,6,1,2,4,0,0,0,1,1,N
5,0,3,0.666667,28,0,0,5.25,1,0.75,N
39,91,0,0.795455,375,0.354839,6,14.956522,2,0.913,Y
25,66,2,0.777778,174,0.52381,6,12.153846,3,1.1538,Y
29,43,2,0.85,156,0.578947,6,13,2,0.9091,Y
36,201,1,0.833333,379,0.25,2,15.217391,2,1.1304,Y
34,0,2,0.566667,210,0,0,17.818182,3,1.0909,N
0,0,2,2,41,0,0,0,0,0,N
21,43,2,0.85,106,0.578947,6,8.454545,2,0.8182,N
39,252,6,0.782609,365,0.34375,6,14,7,1.7917,Y
66,297,0,0.659004,583,0,0,18.133333,5,1.9,Y
1,0,13,2,1,0,0,0,1,1,N
51,84,3,0.673913,451,0,0,17.541667,5,1.7083,N
55,0,9,0.5,453,0,0,27.0625,6,1.0625,N
22,27,2,0.809524,222,0,0,20.5,4,1.5,Y
17,36,2,1.125,72,0.647059,6,6.888889,2,0.7778,N
2,0,1,2,6,0,0,3,0,0,N
33,35,1,0.673077,183,0.458333,5,11.785714,5,1.5714,Y
29,141,2,0.865079,266,0.407407,6,12.631579,2,0.8947,Y
53,28,5,0.895833,840,0,0,32.36,12,2.84,N
2,0,0,2,51,0,0,3,0,0,Y
46,10,40,1.25,288,0,0,56.4,1,0.8,Y
52,366,6,0.865306,621,0.25,6,15.861111,4,1.1389,Y
8,6,1,2,20,1,0,4,0,0,Y
21,49,2,0.975,108,0.578947,6,8.454545,2,0.8182,Y
28,85,2,0.814286,209,0.478261,6,12.6,2,0.8667,Y
29,110,2,0.833333,232,0.44,6,12.294118,2,0.8824,Y
53,176,4,0.725,353,0,0,15.428571,4,1,Y
6,15,5,2,6,0,0,0,1,1,N
2,1,5,2,2,0,0,0,1,1,N
30,34,1,0.75,191,0.478261,5,13.307692,6,1.6923,Y
8,3,3,1.5,168,0.6,4,54.666667,4,1.6667,N
7,4,1,0.5,29,0.944444,0,4.6,1,0.2,Y
38,463,114,0.866667,340,0,0,9.870968,2,1.0968,Y
15,26,2,0.857143,219,0.9,1,25.875,3,1.125,Y
22,66,2,0.805556,140,0.52381,6,9.538462,2,0.8462,N
29,1,7,0,257,0,0,35.571429,2,0.7143,N
8,6,3,2,20,1,0,4,0,0,Y
21,49,2,1,109,0.578947,6,8.454545,2,0.8182,N
23,66,2,0.805556,140,0.52381,6,9.538462,2,0.8462,Y
87,1362,14,0.927083,1806,0.25,7,30.473684,19,2.5263,N
22,0,1,0.333333,163,0,0,25.666667,5,2.3333,N
18,1,2,0.809524,314,0.333333,2,42.857143,4,1.4286,Y
17,36,1,1.125,72,0.647059,6,6.888889,2,0.7778,N
26,48,3,0.890909,171,0.4375,2,12.833333,9,1.5,Y
40,0,1,0.838843,386,0.354839,6,15.304348,2,0.913,Y
65,694,2,0.911702,677,0.2,6,12.6875,2,0.9375,Y
53,535,3,0.941176,396,0.255814,5,10,7,1.6,Y
13,0,2,0.5,107,0,0,16.5,3,1.1667,N
21,49,2,0.85,106,0.578947,6,8.454545,2,0.8182,Y
22,43,0,0.85,117,0.578947,6,9.454545,2,0.8182,Y
37,210,2,0.875,368,0.34375,6,14,3,1.2083,Y
4,6,5,2,4,0,0,0,1,1,N
16,85,115,0.846154,125,0,0,7.642857,1,0.7857,Y
43,183,3,0.864943,391,0.297297,6,11.633333,2,0.9,Y
32,148,1,0.971053,334,0.37931,6,14,2,0.9048,Y
20,26,1,1.047619,169,0,0,19.75,2,1.25,Y
21,43,2,0.85,117,0.578947,6,9.454545,2,1,Y
16,0,3,0,97,0,0,23,3,1.75,N
22,43,0,1,120,0.578947,6,9.454545,2,0.8182,Y
23,66,2,0.805556,140,0.52381,6,9.538462,2,0.8462,N
91,106,9,0.354167,453,0,0,25.470588,2,1.1176,Y
61,57,3,0.607843,316,0.346154,1,16.388889,3,1.1667,Y
13,28,3,1.142857,56,0.538462,2,5.75,1,0.75,Y
7,10,1,1.1,41,0.7,2,6.2,1,0.6,Y
21,49,2,0.85,106,0.578947,6,8.454545,2,0.8182,N
21,49,2,0.85,106,0.578947,6,8.454545,2,0.8182,N
34,65,2,0.794872,234,0.5,6,15.5,2,1.0714,Y
21,43,3,0.85,117,0.578947,6,9.454545,2,1,Y
19,5,2,0.740741,223,0.3,2,21,3,1.2,Y
51,3,0,0.083333,282,0,0,39,6,1.8571,N
4,1,2,2,39,0,0,18.5,3,1.5,N
56,511,4,0.938063,603,0.244444,6,14.236842,3,0.9737,Y
19,107,25,0.382353,170,0,0,8.333333,2,1.2222,N
0,0,2,2,9,0,0,0,0,0,Y
31,79,3,0.785714,251,0.478261,6,15.533333,3,1.2,Y
35,0,1,0.712963,297,0.407407,6,14.315789,2,0.8947,Y
34,13,0,0.6,233,0,0,37.666667,4,1.6667,Y
0,0,0,2,4,0,0,0,0,0,N
45,5,1,0.55,247,0,0,39.5,10,2.6667,N
20,0,2,0,53,0.64,2,4.2,1,0.9,Y
21,49,2,0.85,106,0.578947,6,8.454545,2,0.8182,Y
15,4,3,0.428571,90,0.416667,1,9.875,1,0.875,N
117,0,3,0.832447,617,0,0,11.6875,5,1.2708,Y
8,6,2,2,20,1,0,4,0,0,Y
35,109,1,0.81746,265,0.407407,6,12.578947,2,0.8947,N
17,30,3,0.75,55,0.529412,1,5,1,0.8889,N
8,21,1,2,21,0.538462,2,2,1,0.8571,Y
8,1,2,2,24,0,0,11,1,0.5,N
21,43,2,0.85,117,0.578947,6,9.454545,2,1,Y
27,112,2,0.8125,208,0.44,6,10.941176,2,0.8824,Y
21,2,1,0.75,103,0,0,18.8,1,0.8,Y
