@relation CM1-weka.filters.unsupervised.attribute.NumericTransform-R1-40-Cjava.lang.Math-Mlog

@attribute LOC_BLANK numeric
@attribute BRANCH_COUNT numeric
@attribute CALL_PAIRS numeric
@attribute LOC_CODE_AND_COMMENT numeric
@attribute LOC_COMMENTS numeric
@attribute CONDITION_COUNT numeric
@attribute CYCLOMATIC_COMPLEXITY numeric
@attribute CYCLOMATIC_DENSITY numeric
@attribute DECISION_COUNT numeric
@attribute DECISION_DENSITY numeric
@attribute DESIGN_COMPLEXITY numeric
@attribute DESIGN_DENSITY numeric
@attribute EDGE_COUNT numeric
@attribute ESSENTIAL_COMPLEXITY numeric
@attribute ESSENTIAL_DENSITY numeric
@attribute LOC_EXECUTABLE numeric
@attribute PARAMETER_COUNT numeric
@attribute GLOBAL_DATA_COMPLEXITY numeric
@attribute GLOBAL_DATA_DENSITY numeric
@attribute HALSTEAD_CONTENT numeric
@attribute HALSTEAD_DIFFICULTY numeric
@attribute HALSTEAD_EFFORT numeric
@attribute HALSTEAD_ERROR_EST numeric
@attribute HALSTEAD_LENGTH numeric
@attribute HALSTEAD_LEVEL numeric
@attribute HALSTEAD_PROG_TIME numeric
@attribute HALSTEAD_VOLUME numeric
@attribute MAINTENANCE_SEVERITY numeric
@attribute MODIFIED_CONDITION_COUNT numeric
@attribute MULTIPLE_CONDITION_COUNT numeric
@attribute NODE_COUNT numeric
@attribute NORMALIZED_CYLOMATIC_COMPLEXITY numeric
@attribute NUM_OPERANDS numeric
@attribute NUM_OPERATORS numeric
@attribute NUM_UNIQUE_OPERANDS numeric
@attribute NUM_UNIQUE_OPERATORS numeric
@attribute NUMBER_OF_LINES numeric
@attribute PATHOLOGICAL_COMPLEXITY numeric
@attribute PERCENT_COMMENTS numeric
@attribute LOC_TOTAL numeric
@attribute Defective {Y,N}

@data
1.386294,1.098612,?,0.693147,1.386294,1.386294,0.693147,-1.771957,0.693147,0.693147,0,-0.693147,1.791759,0,?,2.302585,0,?,?,2.766319,2.197225,7.160496,-2.995732,3.555348,-2.207275,4.270117,4.963264,-0.693147,0,0.693147,1.791759,-2.302585,2.772589,2.944439,2.079442,2.197225,3.044522,0,3.624341,2.484907,N
3.135494,2.564949,?,2.302585,2.833213,3.178054,1.94591,-1.560648,2.484907,0.693147,0,-1.966113,3.295837,1.609438,-0.400478,3.135494,1.098612,?,?,3.310543,3.336481,9.983203,-1.347074,5.056246,-3.218876,7.092831,6.646884,-0.34249,1.791759,2.484907,3.091042,-2.407946,3.7612,4.736198,2.564949,2.833213,4.304065,0,3.988984,3.496508,N
3.135494,2.564949,?,2.302585,2.833213,3.178054,1.94591,-1.560648,2.484907,0.693147,0,-1.966113,3.295837,1.609438,-0.400478,3.135494,1.098612,?,?,2.85934,3.303952,9.467294,-1.832581,4.65396,-3.218876,6.576915,6.163252,-0.34249,1.791759,2.484907,3.091042,-2.407946,3.555348,4.248495,2.197225,2.639057,4.304065,0,3.988984,3.496508,N
3.688879,2.197225,1.386294,0.693147,2.70805,2.772589,1.609438,-1.89712,2.079442,0.693147,0.693147,-0.916291,3.044522,0,?,3.433987,?,?,?,3.858833,3.314186,10.487171,-0.84397,5.442418,-3.218876,7.596799,7.172985,-1.609438,1.386294,2.079442,2.890372,-2.813411,4.248495,5.081404,3.332205,3.091042,4.488636,0,3.567277,3.496508,N
3.135494,2.197225,1.791759,1.098612,2.995732,2.772589,1.609438,-1.660731,2.079442,0.693147,0.693147,-0.916291,3.135494,0,?,3.178054,?,?,?,3.763523,2.721295,9.206132,-1.514128,4.787492,-2.65926,6.315756,6.484834,-1.609438,1.386294,2.079442,2.995732,-2.65926,3.688879,4.382027,3.218876,2.944439,4.26268,0,3.890595,3.295837,N
2.079442,1.098612,0,1.791759,1.609438,1.386294,0.693147,-2.207275,0.693147,0.693147,0,-0.693147,1.94591,0,?,2.564949,0,?,?,3.388112,2.213754,7.816397,-2.407946,4.043051,-2.207275,4.926021,5.60223,-0.693147,0,0.693147,1.94591,-2.813411,2.833213,3.688879,2.564949,2.639057,3.496508,0,3.824939,2.944439,N
0.693147,0,0,0,0,?,0,-1.966113,?,?,0,0,0.693147,0,?,1.791759,0,?,?,2.630449,1.386294,5.402813,-3.912023,2.70805,-1.386294,2.512035,4.016563,0,?,?,1.098612,-2.407946,1.609438,2.302585,1.609438,2.079442,2.397895,0,3.218876,1.94591,N
2.944439,1.098612,0,0.693147,?,1.386294,0.693147,-2.813411,0.693147,0.693147,0.693147,0,3.135494,0,?,3.496508,?,?,?,4.159039,2.455306,9.069352,-1.386294,4.905275,-2.407946,6.178981,6.614297,-0.693147,0,0.693147,3.135494,-3.218876,4.189655,4.234107,3.526361,2.484907,4.007333,0,1.742219,3.555348,N
?,0,0,0,0,?,0,-1.966113,?,?,0,0,0.693147,0,?,1.791759,0,?,?,2.630449,1.386294,5.402813,-3.912023,2.70805,-1.386294,2.512035,4.016563,0,?,?,1.098612,-2.207275,1.609438,2.302585,1.609438,2.079442,2.197225,0,3.218876,1.94591,N
1.94591,1.791759,?,0,?,?,1.609438,-2.120264,?,?,0,-1.609438,2.484907,0,?,3.713572,0,?,?,3.593194,3.090133,9.772985,-1.309333,5.056246,-2.995732,6.882612,6.683023,-1.609438,?,?,2.197225,-2.302585,4.26268,4.454347,3.044522,2.564949,3.912023,0,0.8671,3.73767,N
1.791759,1.94591,?,1.791759,?,2.302585,1.386294,-1.89712,1.386294,0.916291,0,-1.386294,2.564949,1.386294,0,3.044522,0,?,?,3.060583,3.196221,9.453206,-1.771957,4.584967,-3.218876,6.562839,6.256786,0,1.098612,1.609438,2.397895,-2.120264,3.688879,4.060443,2.890372,3.091042,3.526361,0,3.100993,3.295837,N
4.89784,4.094345,2.197225,4.143135,3.433987,3.637586,3.713572,-1.771957,2.772589,0.8671,3.135494,-0.579818,4.770685,1.791759,-2.040221,5.17615,1.609438,?,?,4.623108,4.004055,12.631107,0.620576,6.642487,-3.912023,9.740735,8.627086,-1.89712,2.397895,2.944439,4.369448,-2.302585,5.590987,6.212606,4.70048,3.806662,6.006353,0,3.546451,5.480639,N
2.197225,2.079442,0.693147,1.386294,1.609438,2.079442,1.609438,-1.272966,1.386294,0.693147,1.098612,-0.510826,2.639057,0,?,2.639057,?,?,?,2.514465,2.70805,7.930922,-2.813411,3.713572,-2.65926,5.040582,5.222893,-1.609438,0.693147,1.386294,2.397895,-1.89712,2.772589,3.218876,2.079442,2.70805,3.496508,0,3.666889,2.890372,N
5.099866,4.70048,3.258097,3.610918,5.252273,4.85203,4.248495,-1.714798,3.988984,0.86289,3.828641,-0.415515,5.484797,3.295837,-0.967584,5.888878,0,?,?,5.056437,4.582209,14.220765,1.633154,7.519692,-4.60517,11.330393,9.638587,-0.941609,3.610918,4.189655,5.153292,-2.407946,6.566672,7.032624,5.525453,4.234107,6.638568,0,3.656098,5.986452,N
3.295837,3.178054,2.397895,1.098612,3.871201,3.526361,2.564949,-1.832581,2.639057,0.887891,2.302585,-0.261365,3.970292,1.94591,-0.693147,4.330733,0,?,?,4.102643,3.472277,11.047195,-0.430783,5.697093,-3.506558,8.156823,7.574902,-0.616186,2.302585,2.944439,3.73767,-2.525729,4.624973,5.278115,4.043051,3.583519,5.043425,0,3.692871,4.369448,N
1.386294,0,0,?,2.302585,?,0,-3.506558,?,?,0,0,0.693147,0,?,3.433987,?,?,?,4.755399,3.128075,11.011491,-0.127833,6.133398,-3.218876,8.121118,7.883446,0,?,?,1.098612,-3.912023,4.969813,5.758902,3.713572,2.564949,3.828641,0,3.194173,3.433987,N
1.609438,1.609438,0,?,?,2.079442,1.098612,-1.89712,1.386294,0.693147,1.098612,0,2.302585,0,?,2.995732,0,?,?,3.531348,2.331173,8.194486,-2.120264,4.26268,-2.302585,5.304101,5.862921,-1.108663,0.693147,1.386294,2.197225,-2.120264,3.218876,3.828641,2.833213,2.639057,3.258097,0,?,2.995732,N
1.94591,2.197225,1.098612,1.386294,1.609438,2.639057,1.609438,-1.832581,1.791759,0.845868,1.098612,-0.510826,2.995732,1.098612,-0.693147,3.295837,?,?,?,3.207208,3.084658,9.376097,-1.714798,4.682131,-2.995732,6.485719,6.291569,-0.510826,1.386294,1.94591,2.833213,-2.207275,3.526361,4.304065,2.639057,2.890372,3.78419,0,3.218876,3.433987,N
2.772589,1.609438,1.94591,0.693147,3.178054,2.079442,1.098612,-1.714798,1.386294,0.693147,1.098612,0,2.70805,0,?,2.70805,0,?,?,3.588783,1.971299,7.532565,-2.407946,3.951244,-1.966113,4.642177,5.560682,-1.108663,0.693147,1.386294,2.639057,-2.995732,3.044522,3.433987,2.944439,2.564949,4.060443,0,4.149622,2.833213,N
2.70805,1.94591,1.098612,1.098612,2.079442,2.484907,1.386294,-1.386294,1.791759,0.693147,1.386294,0,2.70805,0,?,2.564949,?,?,?,3.286534,2.400619,8.087542,-2.302585,4.077537,-2.407946,5.19717,5.686975,-1.386294,1.098612,1.791759,2.564949,-2.302585,3.218876,3.526361,2.833213,2.70805,3.688879,0,3.824939,2.772589,N
2.944439,1.609438,1.386294,0.693147,2.772589,2.079442,1.098612,-2.207275,1.386294,0.693147,1.098612,0,2.639057,0,?,3.218876,0,?,?,3.881358,2.646884,9.17464,-1.469676,4.787492,-2.65926,6.284265,6.528031,-1.108663,0.693147,1.386294,2.564949,-3.218876,3.89182,4.26268,3.496508,2.944439,4.248495,0,3.734331,3.295837,N
2.944439,1.94591,1.609438,1.609438,2.302585,2.484907,1.386294,-1.89712,1.791759,0.693147,1.386294,0,2.70805,1.386294,0,3.091042,0,?,?,3.347445,2.596746,8.541091,-2.040221,4.317488,-2.65926,5.650733,5.944268,0,1.098612,1.791759,2.564949,-2.65926,3.526361,3.713572,2.944439,2.70805,4.043051,0,3.702289,3.295837,N
2.70805,2.397895,1.386294,1.609438,2.944439,2.995732,1.791759,-1.714798,2.302585,0.693147,1.386294,-0.400478,3.135494,0,?,3.332205,0.693147,?,?,3.421327,3.139833,9.700886,-1.427116,4.85203,-3.218876,6.810517,6.561059,-1.771957,1.609438,2.302585,2.944439,-2.525729,4.007333,4.290459,3.218876,3.044522,4.317488,0,3.831897,3.496508,N
2.564949,1.098612,0,1.098612,2.890372,1.386294,0.693147,-2.302585,0.693147,0.693147,0.693147,0,1.791759,0,?,2.890372,0.693147,?,?,3.243373,3.195402,9.634432,-1.560648,4.804021,-3.218876,6.744059,6.438983,-0.693147,0,0.693147,1.791759,-3.218876,4.060443,4.158883,2.944439,2.772589,3.970292,0,3.986202,3.044522,N
2.639057,2.197225,1.098612,0.693147,2.995732,2.772589,1.609438,-1.660731,2.079442,0.693147,1.098612,-0.510826,3.044522,0,?,3.178054,0,?,?,3.298795,3.681855,10.662337,-1.021651,5.283204,-3.506558,7.771965,6.98055,-1.609438,1.386294,2.079442,2.890372,-2.65926,4.465908,4.70048,3.135494,3.044522,4.219508,0,3.867653,3.258097,N
2.484907,2.197225,1.386294,0.693147,2.484907,2.772589,1.609438,-2.040221,2.079442,0.693147,1.609438,0,3.091042,0,?,3.637586,0,?,?,3.997099,2.957511,9.912091,-1.049822,5.170484,-2.995732,7.021718,6.954582,-1.609438,1.386294,2.079442,2.944439,-2.65926,4.248495,4.663439,3.688879,3.091042,4.290459,0,3.29287,3.688879,N
3.135494,2.197225,1.609438,2.302585,2.197225,2.772589,1.609438,-2.120264,2.079442,0.693147,1.609438,0,3.044522,1.609438,0,3.433987,0,?,?,3.999118,2.697326,9.393462,-1.309333,4.941642,-2.65926,6.50309,6.696281,0,1.386294,2.079442,2.890372,-2.65926,4.110874,4.369448,3.610918,2.890372,4.304065,0,3.637586,3.713572,N
5.043425,4.26268,1.609438,2.639057,5.135798,4.804021,3.610918,-1.714798,4.060443,0.741937,3.258097,-0.356675,4.997212,3.044522,-0.579818,5.278115,0,?,?,4.849684,4.270257,13.390155,1.115142,7.070724,-4.60517,10.499783,9.119907,-0.562119,3.465736,4.110874,4.727388,-2.65926,6.118097,6.583409,5.105945,3.951244,6.284134,0,3.879913,5.347108,Y
3.73767,2.397895,2.302585,1.609438,3.78419,2.995732,1.791759,-1.832581,2.302585,0.693147,1.791759,0,3.401197,0,?,3.465736,?,?,?,3.976124,2.556452,9.088489,-1.469676,4.812184,-2.525729,6.198113,6.532262,-1.771957,1.609438,2.302585,3.258097,-2.995732,3.850148,4.330733,3.433987,2.833213,4.820282,0,4.102478,3.610918,N
3.401197,2.944439,1.609438,1.791759,3.806662,3.583519,2.302585,-2.040221,2.890372,0.693147,2.197225,-0.105361,3.871201,2.079442,-0.248461,4.26268,0,?,?,3.831897,3.299903,10.432068,-0.867501,5.351858,-3.218876,7.541694,7.13201,-0.223144,2.197225,2.890372,3.688879,-2.65926,4.290459,4.927254,3.555348,3.258097,5.030438,0,3.732896,4.343805,Y
2.197225,1.098612,0.693147,?,1.94591,1.386294,0.693147,-2.040221,0.693147,0.693147,0.693147,0,1.791759,0,?,2.70805,?,?,?,3.297687,2.656757,8.611297,-2.040221,4.304065,-2.65926,5.720935,5.954541,-0.693147,0,0.693147,1.791759,-2.813411,3.295837,3.850148,2.890372,2.944439,3.465736,0,3.460095,2.70805,Y
3.258097,2.833213,1.386294,1.609438,3.465736,3.332205,2.197225,-2.040221,2.484907,0.845868,1.791759,-0.400478,3.663562,1.386294,-0.967584,4.127134,0.693147,?,?,4.57975,3.040228,10.660125,-0.385662,5.749393,-2.995732,7.769755,7.61994,-0.820981,2.079442,2.639057,3.465736,-2.65926,4.744932,5.293305,4.189655,3.178054,4.836282,0,3.620868,4.204693,N
3.688879,2.397895,2.484907,1.098612,3.850148,2.995732,1.791759,-1.966113,2.302585,0.693147,1.609438,-0.18633,3.688879,0,?,3.713572,?,?,?,4.121311,2.830858,9.783218,-1.049822,5.17615,-2.813411,6.892845,6.95227,-1.771957,1.609438,2.302585,3.583519,-2.995732,4.143135,4.736198,3.663562,3.044522,4.882802,0,4.006424,3.78419,N
1.94591,1.098612,0.693147,?,1.791759,?,0.693147,-1.386294,?,?,0,-0.693147,2.079442,0,?,2.079442,?,?,?,3.358638,1.704748,6.768125,-2.995732,3.583519,-1.714798,3.877846,5.063354,-0.693147,?,?,2.079442,-2.407946,2.302585,3.258097,2.302585,2.397895,3.091042,0,3.757939,2.079442,N
1.94591,1.94591,0.693147,?,2.079442,2.484907,1.386294,-1.832581,1.791759,0.693147,0,-1.386294,2.772589,0,?,3.218876,?,?,?,3.45537,2.70805,8.871365,-1.832581,4.553877,-2.65926,5.980985,6.163315,-1.386294,1.098612,1.791759,2.639057,-2.302585,3.401197,4.174387,2.772589,2.772589,3.713572,0,3.188004,3.218876,N
4.532599,3.218876,2.302585,2.397895,4.043051,3.871201,2.564949,-2.525729,3.178054,0.693147,2.484907,-0.083382,4.234107,0,?,4.962845,0,?,?,5.165814,3.350606,11.867345,0.512824,6.543912,-3.218876,8.976973,8.516579,-2.525729,2.484907,3.178054,4.060443,-3.218876,5.669881,6.003887,4.804021,3.178054,5.720312,0,3.472587,5.036953,Y
2.197225,1.609438,1.098612,0.693147,0.693147,2.079442,1.098612,-1.832581,1.386294,0.693147,1.098612,0,2.397895,0,?,2.833213,?,?,?,3.603866,2.678965,8.961869,-1.714798,4.624973,-2.65926,6.0715,6.282809,-1.108663,0.693147,1.386294,2.302585,-2.302585,3.583519,4.189655,3.044522,2.833213,3.433987,0,2.947067,2.944439,N
1.098612,0,0,?,1.098612,?,0,-2.040221,?,?,0,0,1.94591,0,?,2.079442,?,?,?,3.194993,2.123458,7.441238,-2.65926,3.931826,-2.120264,4.55082,5.31812,0,?,?,2.079442,-3.506558,2.564949,3.637586,1.94591,2.197225,3.465736,0,3.305787,2.079442,N
2.484907,1.94591,0.693147,0.693147,0.693147,2.484907,1.386294,-1.609438,1.791759,0.693147,1.386294,0,2.639057,0,?,2.890372,0,?,?,3.994524,2.065596,8.126492,-1.966113,4.382027,-2.040221,5.236123,6.060524,-1.386294,1.098612,1.791759,2.484907,-2.207275,3.526361,3.828641,3.332205,2.564949,3.555348,0,2.900322,2.995732,N
3.433987,2.397895,1.609438,1.94591,3.401197,2.995732,1.791759,-1.89712,2.302585,0.693147,1.609438,-0.18633,3.258097,0,?,3.496508,?,?,?,3.982109,2.915606,9.812995,-1.108663,5.147494,-2.995732,6.922624,6.897543,-1.771957,1.609438,2.302585,3.091042,-2.813411,4.219508,4.644391,3.555348,2.944439,4.624973,0,3.967647,3.688879,Y
4.127134,1.94591,1.098612,1.94591,3.828641,2.484907,1.386294,-3.218876,1.791759,0.693147,1.386294,0,2.70805,0,?,4.521789,?,?,?,5.455407,3.282414,12.020429,0.732368,6.71174,-3.218876,9.130057,8.737908,-1.386294,1.098612,1.791759,2.564949,-3.912023,5.921578,6.107023,5.123964,3.178054,5.370638,0,3.598681,4.59512,Y
3.583519,2.564949,1.609438,1.791759,2.639057,3.178054,1.94591,-1.966113,2.484907,0.693147,1.94591,0,3.401197,0,?,3.78419,?,?,?,4.368941,3.096482,10.561533,-0.544727,5.594711,-2.995732,7.671161,7.46526,-1.966113,1.791759,2.484907,3.218876,-2.65926,4.744932,5.036953,4.174387,3.218876,4.615121,0,3.442019,3.912023,Y
?,0,0.693147,0,0.693147,?,0,-1.966113,?,?,0,0,1.098612,0,?,1.791759,0,?,?,2.449279,0.982078,4.410978,-4.60517,2.397895,-0.967584,1.519513,3.430109,0,?,?,1.386294,-2.302585,1.386294,1.94591,1.098612,1.386294,2.302585,0,3.506458,1.94591,N
3.663562,2.564949,1.94591,1.386294,3.332205,3.178054,1.94591,-2.040221,2.484907,0.693147,1.94591,0,3.496508,0,?,3.871201,0,?,?,4.823824,2.631889,10.08701,-0.544727,5.568345,-2.65926,7.196634,7.455403,-1.966113,1.791759,2.484907,3.332205,-2.813411,4.672829,5.043425,4.343805,2.995732,4.787492,0,3.688879,3.951244,N
4.343805,2.944439,1.791759,1.386294,3.433987,3.583519,2.302585,-2.525729,2.890372,0.693147,2.302585,0,4.234107,0,?,4.844187,0,?,?,5.337634,3.269569,11.877127,0.598837,6.624065,-3.218876,8.986754,8.607379,-2.302585,2.197225,2.890372,4.110874,-3.218876,5.556828,6.202536,4.85203,3.258097,5.480639,0,3.072693,4.875197,N
4.007333,1.94591,2.197225,?,3.135494,2.484907,1.386294,-1.660731,1.791759,0.693147,1.386294,0,2.944439,0,?,3.044522,?,?,?,3.937691,2.033398,8.003507,-2.040221,4.343805,-2.040221,5.113132,5.970573,-1.386294,1.098612,1.791759,2.833213,-3.218876,3.332205,3.89182,3.091042,2.484907,4.60517,0,3.956423,3.044522,N
2.833213,3.135494,0.693147,?,3.526361,3.73767,2.484907,-1.714798,2.995732,0.741937,2.079442,-0.400478,3.828641,1.098612,-1.714798,4.174387,?,?,?,4.689879,2.720637,10.130924,-0.597837,5.572154,-2.65926,7.240549,7.410383,-1.386294,2.397895,3.044522,3.583519,-2.302585,4.691348,5.036953,4.110874,2.833213,4.762174,0,3.536311,4.174387,N
2.484907,1.098612,0.693147,0,2.079442,1.386294,0.693147,-2.813411,0.693147,0.693147,0.693147,0,1.791759,0,?,3.465736,?,?,?,4.224788,2.932792,10.090667,-0.84397,5.365976,-2.995732,7.200298,7.157735,-0.693147,0,0.693147,1.791759,-3.218876,4.564348,4.770685,3.828641,2.890372,3.988984,0,3.088767,3.496508,N
2.564949,2.197225,1.94591,0,2.995732,2.772589,1.609438,-1.560648,2.079442,0.693147,1.609438,0,2.995732,0,?,3.135494,?,?,?,3.407511,2.060514,7.527396,-2.525729,3.931826,-2.040221,4.637056,5.467385,-1.609438,1.386294,2.079442,2.833213,-2.407946,2.833213,3.526361,2.564949,2.484907,4.060443,0,3.86556,3.178054,N
1.098612,1.098612,?,0,1.791759,1.386294,0.693147,-1.514128,0.693147,0.693147,0,-0.693147,1.609438,0,?,2.079442,0,?,?,2.36368,1.321756,5.00723,-4.60517,2.484907,-1.309333,2.116256,3.685373,-0.693147,0,0.693147,1.609438,-2.207275,1.609438,1.94591,1.386294,1.791759,2.944439,0,3.843102,2.197225,N
3.091042,2.944439,2.079442,0,0,3.332205,2.397895,-1.771957,2.639057,0.693147,2.197225,-0.198451,4.007333,2.302585,-0.105361,4.143135,0.693147,?,?,3.694116,3.766766,11.227507,-0.544727,5.676754,-3.912023,8.337133,7.460853,-0.094311,1.94591,2.639057,3.828641,-2.040221,4.65396,5.231109,3.526361,3.332205,4.477337,0,1.12493,4.158883,N
2.484907,1.94591,1.386294,0,?,2.484907,1.386294,-1.771957,1.791759,0.693147,1.386294,0,2.944439,1.386294,0,3.091042,0.693147,?,?,3.409496,2.371178,8.151088,-2.207275,4.189655,-2.407946,5.260719,5.78028,0,1.098612,1.791759,2.833213,-2.207275,3.332205,3.637586,2.833213,2.564949,3.583519,0,1.470176,3.135494,N
2.70805,2.564949,1.386294,0,0,3.178054,1.94591,-1.660731,2.484907,0.693147,1.791759,-0.150823,3.663562,0,?,3.583519,0.693147,?,?,3.537184,3.277899,10.093145,-1.203973,5.123964,-3.218876,7.202773,6.815212,-1.966113,1.791759,2.484907,3.526361,-2.040221,4.204693,4.615121,3.178054,2.944439,3.988984,0,1.660131,3.610918,N
1.609438,1.098612,0,0,0.693147,1.386294,0.693147,-2.525729,0.693147,0.693147,0.693147,0,3.044522,0,?,3.135494,0.693147,?,?,4.037245,1.813195,7.662012,-2.120264,4.290459,-1.832581,4.771616,5.849642,-0.693147,0,0.693147,3.044522,-2.813411,3.555348,3.637586,2.995732,1.94591,3.465736,0,2.445819,3.178054,N
2.484907,2.197225,1.098612,0,0,2.772589,1.609438,-1.427116,2.079442,0.693147,1.386294,-0.223144,2.944439,1.609438,0,2.995732,0.693147,?,?,3.170945,2.442347,8.055545,-2.407946,4.043051,-2.407946,5.165186,5.613201,0,1.386294,2.079442,2.772589,-1.966113,3.135494,3.526361,2.639057,2.639057,3.555348,0,2.207175,3.044522,N
2.197225,1.94591,1.098612,1.386294,?,2.484907,1.386294,-1.660731,1.791759,0.693147,1.386294,0,2.833213,1.386294,0,2.833213,0.693147,?,?,3.288775,2.341806,7.972397,-2.407946,4.060443,-2.302585,5.082025,5.630602,0,1.098612,1.791759,2.70805,-2.040221,3.178054,3.526361,2.70805,2.564949,3.433987,0,2.947067,3.044522,N
